author,epub_link,html_link,img_link,title,book_id
"Swift, Jonathan, 1667-1745",https://www.gutenberg.org/ebooks/1080.epub,https://www.gutenberg.org/files/1080/1080-h/1080-h.htm,,A Modest Proposal by Jonathan Swift,1080
"Dickens, Charles, 1812-1870",https://www.gutenberg.org/ebooks/46.epub,https://www.gutenberg.org/files/46/46-h/46-h.htm,https://www.gutenberg.org/cache/epub/46/pg46.cover.medium.jpg,A Christmas Carol in Prose; Being a Ghost Story of Christmas by Charles Dickens,46
"Cervantes Saavedra, Miguel de, 1547-1616",https://www.gutenberg.org/ebooks/996.epub,https://www.gutenberg.org/files/996/996-h/996-h.htm,https://www.gutenberg.org/cache/epub/996/pg996.cover.medium.jpg,Don Quixote by Miguel de Cervantes Saavedra,996
"Tolstoy, Leo, graf, 1828-1910",https://www.gutenberg.org/ebooks/1399.epub,https://www.gutenberg.org/files/1399/1399-h/1399-h.htm,,Anna Karenina by graf Leo Tolstoy,1399
"Doyle, Arthur Conan, 1859-1930",https://www.gutenberg.org/ebooks/244.epub,https://www.gutenberg.org/files/244/244-h/244-h.htm,,A Study in Scarlet by Arthur Conan Doyle,244
"Chopin, Kate, 1850-1904",https://www.gutenberg.org/ebooks/160.epub,https://www.gutenberg.org/files/160/160-h/160-h.htm,,"The Awakening, and Selected Short Stories by Kate Chopin",160
"Brontë, Emily, 1818-1848",https://www.gutenberg.org/ebooks/768.epub,https://www.gutenberg.org/files/768/768-h/768-h.htm,,Wuthering Heights by Emily Brontë,768
,https://www.gutenberg.org/ebooks/10.epub,https://www.gutenberg.org/files/10/10-h/10-h.htm,,The King James Version of the Bible,10
"Baum, L. Frank (Lyman Frank), 1856-1919",https://www.gutenberg.org/ebooks/55.epub,https://www.gutenberg.org/files/55/55-h/55-h.htm,,The Wonderful Wizard of Oz by L. Frank Baum,55
"Bourne, Edward Gaylord, 1860-1908",https://www.gutenberg.org/ebooks/13701.epub.n,https://www.gutenberg.org/files/13701/13701-h/13701-h.htm,,"The Philippine Islands, 1493-1898 — Volume 07 of 55 by Bourne, Blair, and Robertson",13701
"Dostoyevsky, Fyodor, 1821-1881",https://www.gutenberg.org/ebooks/28054.epub,https://www.gutenberg.org/files/28054/28054-h/28054-h.html,,The Brothers Karamazov by Fyodor Dostoyevsky,28054
"Hugo, Victor, 1802-1885",https://www.gutenberg.org/ebooks/135.epub,https://www.gutenberg.org/files/135/135-h/135-h.htm,https://www.gutenberg.org/cache/epub/135/pg135.cover.medium.jpg,Les Misérables by Victor Hugo,135
"Shakespeare, William, 1564-1616",https://www.gutenberg.org/ebooks/100.epub,https://www.gutenberg.org/files/100/100-h/100-h.htm,https://www.gutenberg.org/cache/epub/100/pg100.cover.medium.jpg,The Complete Works of William Shakespeare by William Shakespeare,100
"Wittgenstein, Ludwig, 1889-1951",https://www.gutenberg.org/files/5740/5740-t/574,https://www.gutenberg.org/files/5740/5740-pdf.pdf?session_id=7e180aa0ca4fe4544ee34828868cc667e4759aa5,,Tractatus Logico-Philosophicus by Ludwig Wittgenstein,574
"Stevenson, Robert Louis, 1850-1894",https://www.gutenberg.org/ebooks/120.epub,https://www.gutenberg.org/files/120/120-h/120-h.htm,https://www.gutenberg.org/cache/epub/120/pg120.cover.medium.jpg,Treasure Island by Robert Louis Stevenson,120
"Conrad, Joseph, 1857-1924",https://www.gutenberg.org/ebooks/219.epub,https://www.gutenberg.org/files/219/219-h/219-h.htm,,Heart of Darkness by Joseph Conrad,219
"Hesse, Hermann, 1877-1962",https://www.gutenberg.org/ebooks/2500.epub,https://www.gutenberg.org/files/2500/2500-h/2500-h.htm,,Siddhartha by Hermann Hesse,2500
"Christie, Agatha, 1890-1976",https://www.gutenberg.org/ebooks/58866.epub,https://www.gutenberg.org/files/58866/58866-h/58866-h.htm,,The Murder on the Links by Agatha Christie,58866
"Thoreau, Henry David, 1817-1862",https://www.gutenberg.org/ebooks/205.epub,https://www.gutenberg.org/files/205/205-h/205-h.htm,https://www.gutenberg.org/cache/epub/205/pg205.cover.medium.jpg,"Walden, and On The Duty Of Civil Disobedience by Henry David Thoreau",205
